Industry,FY2021,FY2020,%CHG,%Total
Public,1.93,1.08,79,3
Hospitality,3.03,1.72,77,4
Media,3.17,1.65,92,4
Retail,3.27,2.01,63,5
Research,3.60,1.53,13,5
Communications,3.62,3.01,20,5
Consumer,3.70,2.59,43,5
Transportation,3.75,3.58,5,5
Education,3.79,3.90,-3,5
Entertainment,3.80,4.08, -7, 5
Industrial,4.24,4.99,-15,6
Services,4.65,4.23,10,6
Energy,4.65,6.39,-27,6
Technology,4.88,5.04,-3,7
Pharmaceuticals,5.04,5.06,0,7
Financial,5.72,5.85,-2,8
Health,9.23,7.13,30,13
Total,72.08,63.82,13,100
Global average,4.24,3.86,10,6